lat,lng,alt,date,bgid
40.9753570557,-73.7160568237,23.9474582672,2017-02-03 02:03:44,361190084032
40.922416687,-73.775062561,18.9909229279,2017-02-03 02:08:00,361190065003
40.874835968,-73.8348617554,15.4035358429,2017-02-03 02:14:24,360050462023
40.8264846802,-73.8561706543,9.31517314911,2017-02-03 02:18:40,360050098005
40.7976379395,-73.9199676514,20.6587924957,2017-02-03 02:22:56,360610240001
40.7624893188,-73.9022598267,5.92013549805,2017-02-03 02:29:20,360810297001
40.7280006409,-73.9288253784,39.8658752441,2017-02-03 02:33:36,360810199002
40.6960525513,-73.983833313,15.2113046646,2017-02-03 02:42:08,360470015001
40.7154083252,-73.9931945801,15.2113046646,2017-02-03 02:46:24,360610016003
40.7097320557,-73.9922027588,13.1704397202,2017-02-03 02:50:40,360610008006
40.6795463562,-74.0043563843,13.9006061554,2017-02-03 02:59:12,360470059002
40.6642379761,-73.9919128418,31.2781524658,2017-02-03 03:05:36,360470143001
40.664226532,-73.991569519,30.9006214142,2017-02-03 12:45:52,360470143001
40.6822662354,-73.9909210205,26.9906196594,2017-02-03 13:02:56,360470075001
40.6808662415,-73.9965896606,30.205493927,2017-02-03 14:26:08,360470077004
40.6763076782,-73.998664856,31.9566230774,2017-02-03 14:34:40,360470077003
40.672203064,-73.992767334,28.5381736755,2017-02-03 15:08:48,360470121002
40.6685409546,-73.9869003296,32.8123130798,2017-02-03 15:21:36,360470139003
40.66431427,-73.9915771484,30.8465232849,2017-02-03 15:42:56,360470143001
40.6685066223,-73.9964065552,9.72621536255,2017-02-04 16:34:08,360470018001
40.7008552551,-73.9982681274,5.90879011154,2017-02-04 16:42:40,360610007002
40.7398529053,-73.8965148926,13.0882997513,2017-02-04 16:53:20,360810243004
40.7496185303,-73.8864135742,22.3886508942,2017-02-04 16:57:36,360810285003
40.7487754822,-73.8931274414,23,2017-02-04 17:08:16,360810291004
40.7523345947,-73.8852844238,21.21616745,2017-02-04 18:03:44,360810283002
40.7489967346,-73.8912506104,23.2149562836,2017-02-04 18:42:08,360810289003
40.7492485046,-73.8974075317,14.2449636459,2017-02-04 20:33:04,360810293001
40.7522697449,-73.9285583496,8.07975959778,2017-02-04 20:37:20,360810055001
40.7542152405,-73.9643478394,8.93507766724,2017-02-04 20:45:52,360610086033
40.7588005066,-73.9723510742,24.9481182098,2017-02-04 21:00:48,360610100001
40.7612533569,-73.9775085449,25,2017-02-04 21:13:36,360610104001
40.7622718811,-73.9861755371,22.2949008942,2017-02-04 22:32:32,360610127005
40.7353897095,-74.0010452271,17.7406272888,2017-02-04 22:43:12,360610071004
40.7237930298,-74.0005264282,10.8119735718,2017-02-04 22:53:52,360610049001
40.7211761475,-73.9944076538,14,2017-02-04 23:13:04,360610041001
40.7038764954,-73.9887313843,24.0668430328,2017-02-05 01:46:40,360470021002
40.6880760193,-73.9994354248,33,2017-02-05 01:53:04,360470047001
40.6641464233,-73.9916534424,31.4703903198,2017-02-05 02:03:44,360470143001
40.6643447876,-73.9914932251,29.4481201172,2017-02-05 13:49:52,360470143001
40.6703796387,-73.9885177612,31.3525676727,2017-02-05 18:37:52,360470137003
40.6812438965,-73.9954986572,33,2017-02-05 18:52:48,360470075005
40.6762199402,-73.9988174438,24.4757785797,2017-02-05 20:45:52,360470077003
40.6659126282,-73.9947052002,23.975894928,2017-02-05 21:07:12,360470143001
40.6642303467,-73.9915542603,30.9603462219,2017-02-06 13:26:24,360470143001
40.6703796387,-73.9885253906,30.1892147064,2017-02-06 14:26:08,360470137003
40.677028656,-73.983253479,20.2101097107,2017-02-06 14:32:32,360470133001
40.70129776,-73.9867477417,29.3975028992,2017-02-06 14:41:04,360470021002
40.7486190796,-73.9884719849,16.2296047211,2017-02-06 14:53:52,360610076001
40.7593650818,-73.9815673828,20.6469306946,2017-02-06 15:00:16,360610125001
40.7633056641,-73.9782562256,26.8089408875,2017-02-06 15:42:56,360610137006
40.7623596191,-73.9788513184,27.9656181335,2017-02-06 15:51:28,360610131001
40.757484436,-73.9783859253,27.9534626007,2017-02-06 16:00:00,360610096001
40.7529945374,-73.981338501,28.1316661835,2017-02-06 16:51:12,360610084001
40.7201156616,-74.0020370483,18.0149745941,2017-02-06 20:58:40,360610047002
40.7076644897,-74.0119476318,12.0515670776,2017-02-06 21:02:56,360610013002
40.7028884888,-74.0127792358,3.17496776581,2017-02-06 22:43:12,360610009001
40.6938781738,-73.9912643433,45.2819252014,2017-02-06 22:49:36,360470009001
40.6771316528,-73.9831695557,20.4023265839,2017-02-06 23:00:16,360470133001
40.6651229858,-73.9932403564,27.4377326965,2017-02-06 23:04:32,360470143001
40.6604995728,-73.9977874756,19.4906234741,2017-02-07 11:29:04,360470101001
40.6703872681,-73.98853302,23.5892505646,2017-02-07 11:33:20,360470137003
40.6798973083,-73.9951782227,31.709941864,2017-02-07 11:37:36,360470077004
40.6762886047,-73.9987640381,25.1569709778,2017-02-07 13:30:40,360470077003
40.6866073608,-73.9904556274,26.4473686218,2017-02-07 15:08:48,360470069001
40.7130813599,-73.9901351929,8.6261100769,2017-02-07 15:15:12,360610006001
40.7306632996,-74.002494812,12.8237028122,2017-02-07 15:23:44,360610067001
40.7489814758,-73.9882202148,16.971572876,2017-02-07 15:30:08,360610076001
40.7510147095,-73.9915771484,14.6088752747,2017-02-07 15:38:40,360610101001
40.7534561157,-73.9817047119,24.6676063538,2017-02-07 16:12:48,360610084001
40.7402915955,-73.9905090332,17.4073734283,2017-02-07 20:45:52,360610058001
40.7285804749,-73.998550415,14,2017-02-07 20:56:32,360610065005
40.7414855957,-73.9938278198,14,2017-02-07 22:02:40,360610054001
40.7486534119,-73.9884567261,18.6432132721,2017-02-07 22:09:04,360610076001
40.7503509521,-73.994140625,13.9311571121,2017-02-07 22:15:28,360610101001
40.7411155701,-73.9976882935,14,2017-02-07 22:26:08,360610087001
40.709602356,-74.0064926147,12.9899568558,2017-02-07 22:34:40,360610015011
40.6937904358,-73.9937820435,12.9899568558,2017-02-07 22:41:04,360470005022
40.6848831177,-73.9777984619,28.6081142426,2017-02-07 22:47:28,360470035001
40.6806602478,-73.9810028076,33,2017-02-07 23:06:40,360470127002
40.6640853882,-73.9918212891,32.9887504578,2017-02-08 01:29:36,360470143001
40.6702041626,-73.9886932373,31.0478534698,2017-02-08 12:50:08,360470139004
40.6746520996,-73.9939727783,23.8665618896,2017-02-08 12:56:32,360470119001
40.681438446,-73.9958267212,24.3063373566,2017-02-08 13:00:48,360470075005
40.676700592,-73.9971618652,24.4120140076,2017-02-08 14:34:40,360470077003
40.6704521179,-73.988609314,29.5252017975,2017-02-08 14:41:04,360470137003
40.6704750061,-73.9885940552,23.5948410034,2017-02-08 14:49:36,360470137003
40.6641998291,-73.9915771484,30.7176799774,2017-02-08 15:00:16,360470143001
40.6644172668,-73.9913864136,28.451839447,2017-02-09 19:01:20,360470143001
40.6777610779,-73.994102478,31.6986560822,2017-02-10 12:43:44,360470077002
40.6838111877,-73.9952392578,24.7105770111,2017-02-10 12:50:08,360470067001
40.67628479,-73.9987945557,26.8361701965,2017-02-10 14:47:28,360470077003
40.6709709167,-73.9915084839,36.9300460815,2017-02-10 15:42:56,360470121002
40.6652259827,-73.9932174683,33,2017-02-10 15:49:20,360470143001
40.6642417908,-73.9915466309,31.2667770386,2017-02-10 20:20:16,360470143001
40.6603813171,-73.9979095459,19.0168552399,2017-02-10 20:58:40,360470101001
40.670375824,-73.98853302,23.6847171783,2017-02-10 21:02:56,360470137003
40.6728172302,-73.9942398071,20.3305530548,2017-02-10 21:09:20,360470119001
40.6864089966,-73.9905700684,26.6438026428,2017-02-10 21:13:36,360470069001
40.6911811829,-73.9600982666,26.6561717987,2017-02-10 21:22:08,360470193001
40.7138328552,-73.9516067505,3.27034378052,2017-02-10 21:28:32,360470513003
40.7144813538,-73.957824707,13.2805318832,2017-02-10 21:37:04,360470519003
40.7125778198,-73.9632568359,14,2017-02-10 21:47:44,360470551004
40.713722229,-73.9658813477,15.5233297348,2017-02-10 23:13:04,360470551001
40.715637207,-73.9600906372,16.2456436157,2017-02-11 00:51:12,360470553002
40.7195701599,-73.9558334351,13.055439949,2017-02-11 02:03:44,360470517001
40.7297935486,-73.9540863037,12.8542785645,2017-02-11 02:10:08,360470565003
40.7366333008,-73.9551849365,9.50433635712,2017-02-11 02:18:40,360470579001
40.7303733826,-73.9517822266,14,2017-02-11 02:25:04,360470575004
40.7263717651,-73.9492874146,9.35061645508,2017-02-11 04:11:44,360470573002
40.696231842,-73.9758605957,16.1252403259,2017-02-11 04:18:08,360470185012
40.6761245728,-74.0015029907,13.4555835724,2017-02-11 04:24:32,360470059002
40.6641464233,-73.9916534424,31.1543064117,2017-02-11 04:30:56,360470143001
40.6602287292,-73.9947052002,33,2017-02-11 15:02:24,360470145002
40.6440925598,-74.0006561279,30,2017-02-11 15:08:48,360470094003
40.6388092041,-74.0090179443,30,2017-02-11 15:51:28,360470104003
40.6390419006,-74.0154266357,30,2017-02-11 16:00:00,360470102002
40.6340751648,-74.0204086304,29.3748264313,2017-02-11 16:10:40,360470126002
40.6357192993,-74.0260772705,30,2017-02-11 19:12:00,360470068004
40.6308937073,-74.0279998779,30,2017-02-11 19:35:28,360470066002
40.6357727051,-74.0260314941,31.5862216949,2017-02-11 20:07:28,360470068004
40.6412658691,-74.0179443359,40.7926902771,2017-02-11 20:39:28,360470074002
40.6543388367,-74.0042190552,16.3472175598,2017-02-11 20:45:52,360470084001
40.6638412476,-73.9943771362,33,2017-02-11 20:52:16,360470143002
40.6642112732,-73.9915847778,31.768945694,2017-02-12 03:54:40,360470143001
40.6640968323,-73.9928741455,30.5632534027,2017-02-12 17:31:44,360470143001
40.6703834534,-73.9885253906,24.1656665802,2017-02-12 18:42:08,360470137003
40.6739006042,-73.9930419922,19.8846473694,2017-02-12 18:50:40,360470119001
40.6839599609,-73.9951858521,26.0187625885,2017-02-12 18:59:12,360470067001
40.6781921387,-73.9962081909,26.1452198029,2017-02-12 20:54:24,360470077004
40.6705055237,-73.9885253906,24.7893562317,2017-02-12 20:58:40,360470137003
40.6650428772,-73.9932174683,33,2017-02-12 21:05:04,360470143001
40.6703338623,-73.9885482788,24.5142936707,2017-02-13 12:41:36,360470137003
40.6755981445,-73.996963501,19.4586429596,2017-02-13 12:52:16,360470077003
40.6830062866,-73.9956130981,33,2017-02-13 12:58:40,360470067002
40.6778411865,-73.998008728,25.0108337402,2017-02-13 14:32:32,360470077003
40.6704978943,-73.98853302,24.964931488,2017-02-13 16:17:04,360470137003
40.6652145386,-73.9931564331,25.2630844116,2017-02-13 16:23:28,360470143001
40.6641693115,-73.99168396,32.2553977966,2017-02-13 16:49:04,360470143001
40.6605606079,-73.997756958,33.6917419434,2017-02-14 11:35:28,360470101001
40.6703224182,-73.9885559082,24.0571880341,2017-02-14 11:41:52,360470137003
40.6798057556,-73.995262146,24.9968070984,2017-02-14 11:50:24,360470077004
40.6741294861,-73.9924545288,29.9247436523,2017-02-14 14:43:12,360470119001
40.7304954529,-73.9926757812,18.0827903748,2017-02-14 14:51:44,360610057002
40.7544136047,-73.9869766235,18.3524246216,2017-02-14 14:58:08,360610113001
40.7530555725,-73.9813079834,26.5806407928,2017-02-14 18:27:12,360610084001
40.750125885,-73.9879455566,22.0159854889,2017-02-14 21:56:16,360610109001
40.7374954224,-73.9970932007,11.6773319244,2017-02-14 22:00:32,360610081004
40.7393875122,-74.0027542114,10,2017-02-14 22:09:04,360610077001
40.7381668091,-74.0039291382,10.6422052383,2017-02-14 22:17:36,360610077004
40.733089447,-74.0027923584,9.8336648941,2017-02-15 00:10:40,360610073004
40.7245292664,-74.001953125,10,2017-02-15 00:17:04,360610047001
40.7202033997,-73.9990921021,11.8419647217,2017-02-15 01:48:48,360610045001
40.7181396484,-73.9936981201,14,2017-02-15 01:57:20,360610018005
40.7026977539,-73.9879379272,14,2017-02-15 02:05:52,360470021002
40.6838684082,-73.9785461426,29.8937187195,2017-02-15 02:12:16,360470129011
40.670501709,-73.9885482788,25.0135574341,2017-02-15 02:22:56,360470137003
40.6641540527,-73.991607666,31.7257575989,2017-02-15 02:27:12,360470143001
40.6703300476,-73.9885559082,24.011762619,2017-02-15 11:41:52,360470137003
40.6807289124,-73.9945449829,24.6263561249,2017-02-15 11:58:56,360470075005
40.6733093262,-73.9954605103,24.3403625488,2017-02-15 13:26:24,360470119001
40.6663475037,-73.9919586182,33,2017-02-15 13:32:48,360470141003
40.6702690125,-73.988609314,25.3931102753,2017-02-15 16:25:36,360470139004
40.6836662292,-73.9787063599,28.863904953,2017-02-15 16:36:16,360470129011
40.7263412476,-73.9986877441,14,2017-02-15 16:59:44,360610055013
40.6642150879,-73.9915847778,30.5805969238,2017-02-16 01:10:24,360470143001
40.6686439514,-73.9901657104,33,2017-02-16 15:17:20,360470117001
40.6763191223,-73.9988250732,22.5555362701,2017-02-16 15:36:32,360470065007
40.6814880371,-73.9962539673,30.9863033295,2017-02-16 16:46:56,360470075005
40.6862258911,-73.9940643311,25.6110591888,2017-02-16 18:12:16,360470045003
40.6885719299,-73.9889678955,32.8237190247,2017-02-16 18:48:32,360470043002
40.6844711304,-73.9785385132,39.5679969788,2017-02-16 18:54:56,360470039003
40.678314209,-73.9791870117,30.4508800507,2017-02-16 19:01:20,360470131002
40.6712799072,-73.9845428467,33,2017-02-16 19:07:44,360470137001
40.6665039062,-73.9885940552,33,2017-02-16 19:14:08,360470141003
40.6642837524,-73.9915847778,29.7819404602,2017-02-17 03:14:08,360470143001
40.6704139709,-73.9885025024,24.1358661652,2017-02-17 16:32:00,360470137003
40.7422828674,-73.9944610596,17.8718490601,2017-02-17 17:12:32,360610087001
40.7380027771,-73.9922790527,14.663608551,2017-02-17 18:52:48,360610054001
40.7337265015,-73.9952850342,15.4867143631,2017-02-17 18:59:12,360610063002
40.7274169922,-73.9952774048,14,2017-02-17 19:05:36,360610055011
40.7188186646,-74.0024337769,10,2017-02-17 19:09:52,360610033001
40.7126579285,-74.0078125,10,2017-02-17 19:16:16,360610021001
40.7078895569,-74.0128707886,8.09545898438,2017-02-17 19:50:24,360610013002
40.6938705444,-73.9911727905,45.7248382568,2017-02-17 19:56:48,360470009001
40.6838989258,-73.9785461426,29.0306415558,2017-02-17 20:03:12,360470129011
40.6651115417,-73.9931716919,26.4803981781,2017-02-17 20:09:36,360470143001
40.6641769409,-73.9916687012,31.0746860504,2017-02-18 19:29:04,360470143001
40.6810340881,-73.9687194824,33,2017-02-18 19:58:56,360470163001
40.6820449829,-73.9604568481,33,2017-02-18 20:22:24,360470227003
40.6829223633,-73.9677429199,33,2017-02-18 21:39:12,360470199003
40.6777496338,-73.9688415527,33,2017-02-18 21:49:52,360470163002
40.6757850647,-73.9634399414,39.5646324158,2017-02-18 23:51:28,360470205003
40.6729774475,-73.9696884155,34.0566291809,2017-02-19 00:59:44,360470159001
40.6727142334,-73.9767456055,33.3935127258,2017-02-19 01:14:40,360470157003
40.6722793579,-73.9837112427,28.9290733337,2017-02-19 01:31:44,360470135002
40.6680107117,-73.9872741699,33,2017-02-19 01:40:16,360470139003
40.664276123,-73.9915924072,30.0252552032,2017-02-19 01:53:04,360470143001
40.6726264954,-74.0002746582,32.0198478699,2017-02-19 16:19:12,360470053001
40.682182312,-73.9951934814,27.4713344574,2017-02-19 16:23:28,360470075005
40.6842269897,-73.9950485229,29.5180473328,2017-02-19 16:34:08,360470067001
40.6890716553,-73.9899978638,28.6321697235,2017-02-19 18:16:32,360470043001
40.6861839294,-73.9828948975,22.1376190186,2017-02-19 18:27:12,360470041001
40.6843605042,-73.9769439697,33,2017-02-19 18:35:44,360470035001
40.6799163818,-73.9780731201,26.4956436157,2017-02-19 18:57:04,360470129023
40.6713294983,-73.9845428467,25.6126041412,2017-02-19 19:05:36,360470137001
40.6673240662,-73.9878768921,32.7579116821,2017-02-19 19:09:52,360470139002
40.6698150635,-73.9892044067,30.6537246704,2017-02-20 11:39:44,360470121002
40.6728057861,-73.9959411621,27.0592498779,2017-02-20 11:46:08,360470119001
40.6840400696,-73.9950790405,27.2390537262,2017-02-20 11:56:48,360470075001
40.6883125305,-73.9894485474,33,2017-02-20 13:28:32,360470043004
40.6957817078,-73.9660263062,23.9747200012,2017-02-20 13:34:56,360470191002
40.7402763367,-73.8996124268,16.1083641052,2017-02-20 13:41:20,360810243004
40.7490386963,-73.8910522461,23,2017-02-20 13:49:52,360810289003
40.7496452332,-73.8851089478,23,2017-02-20 13:58:24,360810283004
40.745803833,-73.8884735107,23.0057945251,2017-02-20 15:15:12,360810267003
40.7461853027,-73.899887085,21.8931617737,2017-02-20 15:38:40,360810261004
40.7411651611,-73.8995513916,19.7686862946,2017-02-20 15:57:52,360810247001
40.7236061096,-73.9376373291,16.7905502319,2017-02-20 16:04:16,360470449004
40.7005653381,-73.9865341187,24.6923828125,2017-02-20 16:08:32,360470023001
40.6758422852,-74.0009307861,14.2469739914,2017-02-20 16:14:56,360470059002
40.6682243347,-73.9963302612,9.43170547485,2017-02-20 16:19:12,360470018001
40.6642456055,-73.9916305542,30.2715301514,2017-02-20 16:25:36,360470143001
40.66981887817383,-73.98905181884766,33,2017-02-21 12:48:00,360470139004
40.68061828613281,-73.99456787109375,25.094951629638672,2017-02-21 12:56:32,360470075004
40.724327087402344,-73.99425506591797,24.993152618408203,2017-02-21 14:56:00,360610043001
40.754302978515625,-73.98430633544922,10.465455055236816,2017-02-21 15:06:40,360610084001
40.73307800292969,-74,7.6522979736328125,2017-02-21 21:22:08,360610071005
40.71431350708008,-73.9943618774414,7.909197807312012,2017-02-21 21:26:24,360610016001
40.6839714050293,-73.97860717773438,30.89415168762207,2017-02-21 21:37:04,360470129011
40.677127838134766,-73.98326873779297,20.45519256591797,2017-02-21 21:43:28,360470119003
40.665245056152344,-73.99295043945312,33,2017-02-21 21:49:52,360470143001
